# OF ORDERS,CATEGORY,DISH,COMPONENT,INGREDIENT,QUANTITY PER SERVING,UNIT,TOTAL Q FOR THIS WEEK,IN STOCK,DIFF,NEED TO SHOP?,Q,UNIT,WHERE TO SHOP (1ST CHOICE)
20,SOUP,CURRY CAULIFLOWER & POTATO SOUP,WHOLE SOUP,CUMIN,0.25,TSP,5.00,999,-963.1,NO,963.1,TSP,RD
20,SOUP,CURRY CAULIFLOWER & POTATO SOUP,WHOLE SOUP,CINNAMON,0.19,TSP,3.75,999,-992.7,NO,992.7,TSP,RD
20,SOUP,CURRY CAULIFLOWER & POTATO SOUP,WHOLE SOUP,TURMERIC,0.19,TSP,3.75,999,-995.25,NO,995.25,TSP,RD
20,SOUP,CURRY CAULIFLOWER & POTATO SOUP,WHOLE SOUP,SALT,0.16,TSP,3.13,999,-965.25,NO,965.25,TSP,RD
20,SOUP,CURRY CAULIFLOWER & POTATO SOUP,WHOLE SOUP,BLACK PEPPER,0.09,TSP,1.88,999,-987.595,NO,987.595,TSP,RD
20,SOUP,CURRY CAULIFLOWER & POTATO SOUP,WHOLE SOUP,CAYENNE,0.02,TSP,0.31,999,-991.1875,NO,991.1875,TSP,RD
20,SOUP,CURRY CAULIFLOWER & POTATO SOUP,WHOLE SOUP,CAULIFLOWER,0.13,CAULIFLOWER,2.50,999,-996.5,NO,996.5,CAULIFLOWER,RD
20,SOUP,CURRY CAULIFLOWER & POTATO SOUP,WHOLE SOUP,EVOO,0.25,TBSP,5.00,999,-939.4,NO,939.4,TBSP,RD
20,SOUP,CURRY CAULIFLOWER & POTATO SOUP,WHOLE SOUP,ONION,0.13,ONION,2.50,10,32.90,YES,32.9,ONION,RD
20,SOUP,CURRY CAULIFLOWER & POTATO SOUP,WHOLE SOUP,CARROT,0.13,CUP,2.50,999,-989.9,NO,989.9,CUP,RD
20,SOUP,CURRY CAULIFLOWER & POTATO SOUP,WHOLE SOUP,GARLIC,0.38,CLOVE,7.50,999,-912.9,NO,912.9,CLOVE,RD
20,SOUP,CURRY CAULIFLOWER & POTATO SOUP,WHOLE SOUP,GINGER,0.19,INCH,3.75,999,-972.25,NO,972.25,INCH,RD
20,SOUP,CURRY CAULIFLOWER & POTATO SOUP,WHOLE SOUP,CHILI PEPPER,0.13,CHILI PEPPER,2.50,999,-996.5,NO,996.5,CHILI PEPPER,RD
20,SOUP,CURRY CAULIFLOWER & POTATO SOUP,WHOLE SOUP,TOMATO SAUCE,1.75,OZ,35.00,0,35.00,YES,35,OZ,RD
20,SOUP,CURRY CAULIFLOWER & POTATO SOUP,WHOLE SOUP,VEG BROTH,0.50,CUP,10.00,999,-935,NO,935,CUP,RD
